"AD_TOTAL"	"AD_UP"	"AD_DOWN"	"earlyPD_TOTAL"	"earlyPD_UP"	"earlyPD_DOWN"	"MCI_TOTAL"	"MCI_UP"	"MCI_DOWN"	"MS_TOTAL"	"MS_UP"	"MS_DOWN"	"PD_TOTAL"	"PD_UP"	"PD_DOWN"	"rrMS_TOTAL"	"rrMS_UP"	"rrMS_DOWN"	"spMS_TOTAL"	"spMS_UP"	"spMS_DOWN"	"Sexmale_TOTAL"	"Sexmale_UP"	"Sexmale_DOWN"	"Age_TOTAL"	"Age_UP"	"Age_DOWN"
"ANKMY2"	"ANKMY2"	"NCALD"	"FMR1"	"FMR1"	"STX1B"				"RSBN1L"	"RSBN1L"	"ACP1"	"CFAP52"	"CFAP52"	"METTL21A"	"DNAJB8"	"DNAJB8"	"SDHAF2"	"PRC1"	"PRC1"	"STK17A"	"MRPL34"			"ANXA1"	"ANXA1"	"C16orf86"
"EDF1"	"EDF1"	"ECH1"	"SLC35A2"	"SLC35A2"	"KLHL22"				"MAPK12"	"MAPK12"	"NAT8"	"POP5"	"POP5"	"SLC25A26"	"BGN"	"BGN"	"SF1"	"FCGR3A"	"FCGR3A"	"TAGAP"	"FBXW9"			"MRPL44"	"MRPL44"	"ZBTB8A"
"BAG1"	"BAG1"	"RETN"	"GATA1"	"GATA1"	"SNAP29"				"AKR1C3"	"AKR1C3"	"TMEM177"	"KLK5"	"KLK5"	"IL9"	"GLRX5"	"GLRX5"	"PPDPFL"	"ABCF1"	"ABCF1"	"ARHGAP12"	"DHX30"			"CKAP2"	"CKAP2"	"PKNOX1"
"DNTT"	"DNTT"	"VRK3"	"PIN4"	"PIN4"	"SUSD2"				"PPIA"	"PPIA"	"RHBDD1"	"TNXB"	"TNXB"	"PLPP5"	"PTP4A2"	"PTP4A2"	"RFWD3"	"LCMT1"	"LCMT1"	"SPTSSA"	"ALOX5AP"			"SPRY2"	"SPRY2"	"CCDC12"
"MAPK8"	"MAPK8"	"SLC1A6"	"ARMCX3"	"ARMCX3"	"SEC14L2"				"NIF3L1"	"NIF3L1"	"IL9"	"SPATA24"	"SPATA24"	"MRRF"	"DIABLO"	"DIABLO"	"HTR1E"	"SERPINB4"	"SERPINB4"	"LRR1"	"RPS15A"			"WDR33"	"WDR33"	"ZNF333"
"ATE1"	"ATE1"	"CLIP3"	"DHRS12"	"DHRS12"	"PPIL2"				"ADH7"	"ADH7"	"TIMD4"	"POLH"	"POLH"	"GBGT1"	"H2AC20"	"H2AC20"	"ALCAM"	"UBD"	"UBD"	"CASP7"	"ORC3"			"BPHL"	"BPHL"	"KASH5"
"SFXN3"	"SFXN3"	"CD79A"	"LYRM1"	"LYRM1"	"GRK3"				"ADH1B"	"ADH1B"	"TBC1D7"	"SDR16C5"	"SDR16C5"	"MTG1"	"H2AC21"	"H2AC21"	"TMEM182"	"TSPAN4"	"TSPAN4"	"SERPINB8"	"SERPINE2"			"CIR1"	"CIR1"	"AMDHD2"
"FGF8"	"FGF8"	"ICAM4"	"CCL17"	"CCL17"	"PICK1"				"IL27"	"IL27"	"GFOD1"	"ALK"	"ALK"	"SLC22A9"	"TAFA3"	"TAFA3"	"ARMC10"	"PRR23E"	"PRR23E"	"HDGFL3"	"AOAH"			"SEC31A"	"SEC31A"	"ZG16B"
"MAP3K8"	"MAP3K8"	"CDC37"	"PARD6A"	"PARD6A"	"FBXO7"				"KEL"	"KEL"	"PLA2G7"	"INSR"	"INSR"	"NGLY1"	"ATP6V0C"	"ATP6V0C"	"PRKCE"	"POLR2J2"	"POLR2J2"	"NDEL1"	"TM6SF1"			"BBS7"	"BBS7"	"ZFPL1"
"UBE2S"	"UBE2S"	"SYNGR4"	"FA2H"	"FA2H"	"RHBDD3"				"PSMB8"	"PSMB8"	"SCML4"	"TMEM126B"	"TMEM126B"	"TMEM18"	"C17orf58"	"C17orf58"	"PAH"	"MCTS1"	"MCTS1"	"C18orf54"	"MMP13"			"BMPR1B"	"BMPR1B"	"BEND5"
"LGI1"	"LGI1"	"CAPS"	"HSDL1"	"HSDL1"	"PACSIN2"				"NELFE"	"NELFE"	"MTFR2"	"PAH"	"PAH"	"IGSF10"	"ANGPTL5"	"ANGPTL5"	"ATPAF2"	"IFNA13"	"IFNA13"	"TMEM92"	"MFSD13A"			"RAP1GDS1"	"RAP1GDS1"	"GMEB1"
"RPS6KB1"	"RPS6KB1"	"LENG1"	"HAGHL"	"HAGHL"	"TOM1"				"PCDHA2"	"PCDHA2"	"AIG1"	"LDHAL6B"	"LDHAL6B"	"PANK1"	"SIRT7"	"SIRT7"	"ORMDL3"	"KIR2DL3"	"KIR2DL3"	"AXL"	"CDK15"			"GLTP"	"GLTP"	"KLHDC9"
"MED31"	"MED31"	"COPE"	"CRYM"	"CRYM"	"MCAT"				"APOL6"	"APOL6"	"IFNA5"	"FGGY"	"FGGY"	"NCAM2"	"GJB4"	"GJB4"	"SERF1A"	"GSTA2"	"GSTA2"	"TRAPPC9"	"ETFBKMT"			"CCDC65"	"CCDC65"	"MAPKAPK2"
"LRRC59"	"LRRC59"	"DDX49"	"PRSS33"	"PRSS33"	"ASCC2"				"APOC2"	"APOC2"	"IFNK"	"MRPL52"	"MRPL52"	"COX6A2"	"ZNF79"	"ZNF79"	"ALG14"	"COA8"	"COA8"	"CTRB1"	"C18orf21"			"TPM1"	"TPM1"	"TRIM17"
"RANGRF"	"RANGRF"	"NAMPT"	"AQP8"	"AQP8"	"PNPLA3"				"AQP1"	"AQP1"	"ACTL7B"	"RPL38"	"RPL38"	"DDX19B"	"NUP62CL"	"NUP62CL"	"GLRX"	"H2BC9"	"H2BC9"	"APEX2"	"SRD5A1"			"CPNE2"	"CPNE2"	"MAIP1"
"MAP2K6"	"MAP2K6"	"PON3"	"QPRT"	"QPRT"	"TXN2"				"AATF"	"AATF"	"SURF2"	"MRGPRF"	"MRGPRF"	"RIBC1"	"STYX"	"STYX"	"SULT1B1"	"KRIT1"		"ZRSR2"	"IL9"			"CSNK1D"	"CSNK1D"	"SMCP"
"AADAT"	"AADAT"	"GSDME"	"BCKDK"	"BCKDK"	"PVALB"				"FUZ"		"ACAD8"	"NABP1"	"NABP1"	"NPM2"	"TMA16"	"TMA16"	"PELI3"	"NDUFAF7"		"GPS1"	"TRIM41"			"ERBB2"	"ERBB2"	"POLR2H"
"JHY"	"JHY"	"HOXA1"	"AQP9"	"AQP9"	"RANGAP1"				"COX15"		"PABPC3"	"EIF1"	"EIF1"	"ALDH4A1"	"KLHL9"	"KLHL9"	"SPSB4"	"MEOX1"		"LIMS1"	"GBGT1"			"DUSP11"	"DUSP11"	"MELTF"
"FOXRED1"	"FOXRED1"	"HIBADH"	"IQCH"	"IQCH"	"PYGL"				"AGPAT4"		"PSTPIP2"	"CETN1"	"CETN1"	"UBQLN4"	"STK39"	"STK39"	"PHYKPL"	"CDKL5"		"TMEM42"	"SURF2"			"CCZ1B"	"CCZ1B"	"CLDN19"
"CHORDC1"	"CHORDC1"	"GRB10"	"RASL12"	"RASL12"	"PSMC6"				"SH2D2A"		"IGSF10"	"KCNA2"	"KCNA2"	"TMEM143"	"MTOR"	"MTOR"	"UBQLNL"	"MGST1"		"MRAP"	"SESN3"			"MRRF"	"MRRF"	"EMCN"
"MDK"	"MDK"	"ABHD11"	"RIPK2"	"RIPK2"	"EIF5"				"HOXC8"		"PANK1"	"NAALADL2"	"NAALADL2"	"GBP2"	"FANK1"	"FANK1"	"CTDNEP1"	"RPS20"		"SETMAR"	"MTMR12"			"GBGT1"	"GBGT1"	"HPGD"
"CAMKK2"	"CAMKK2"	"BUD31"	"DECR1"	"DECR1"	"PSMC1"				"TLL1"		"STK32B"	"MYOZ1"	"MYOZ1"	"TRIM17"	"ZNF616"	"ZNF616"	"TALDO1"	"GABRA3"		"CAVIN4"	"STK32B"			"C11orf52"	"C11orf52"	"BAALC"
"IL23A"	"IL23A"	"ZKSCAN1"	"EMC2"	"EMC2"	"EFS"				"PNKP"		"CPB1"	"ERN1"	"ERN1"	"SUCLG1"	"RNF208"	"RNF208"	"GCC1"	"GABARAPL2"		"CLDN20"	"FBXO36"			"CLEC1A"	"CLEC1A"	"FAM219A"
"MYF6"	"MYF6"	"SERPINE1"	"NCALD"	"NCALD"	"DCAF11"				"ROS1"		"CARHSP1"	"LSMEM2"	"LSMEM2"	"PPM1L"	"KLHL23"	"KLHL23"	"HOATZ"	"ARHGEF5"		"SYCE1"	"LY96"			"IFIT5"	"IFIT5"	"FBP1"
"METAP2"	"METAP2"	"BLVRA"	"TULP2"	"TULP2"	"NFKBIA"				"HDAC9"		"WNT3A"	"RNF151"	"RNF151"	"TPRA1"	"ADAT3"	"ADAT3"	"SNRNP35"	"CAMK2B"		"PWWP2B"	"FHIP2B"			"PLOD2"	"PLOD2"	"PKNOX2"
"PRMT8"	"PRMT8"	"URGCP"	"ECH1"	"ECH1"	"CD40"				"RAD51"		"FLCN"	"PDXDC1"	"PDXDC1"	"ETNPPL"	"FANCG"	"FANCG"	"STING1"	"VMP1"		"MRM3"	"AP2M1"			"OTULIN"	"OTULIN"	"PRDX3"
"PARP11"	"PARP11"	"PRKAG2"	"LIN7B"	"LIN7B"	"HNF4A"				"GINM1"		"MPPE1"	"OR3A1"	"OR3A1"	"PRMT9"	"C19orf73"	"C19orf73"	"CYP2R1"	"WDR3"		"PRNP"	"RPL26"			"ABCA6"	"ABCA6"	"PRAP1"
"GPN3"	"GPN3"	"YKT6"	"TRMT1"	"TRMT1"	"STK4"				"HPF1"		"N6AMT1"	"LSMEM1"	"LSMEM1"	"CMBL"	"TMA7"	"TMA7"	"RUFY4"	"CD84"		"CYP4F11"	"ERCC3"			"CARNMT1"	"CARNMT1"	"SPATA19"
"CDKN1B"	"CDKN1B"	"CORO2A"	"VRK3"	"VRK3"	"CSTF1"				"PHF21B"		"CCT8"	"CEP97"	"CEP97"	"ANKS6"	"HLA-DOB"	"HLA-DOB"	"UROS"	"CACNB1"		"PPP1CA"	"TMEM183A"			"CLDN8"	"CLDN8"	"SGPL1"
"DDX55"	"DDX55"	"AMBP"	"SLC1A6"	"SLC1A6"	"TPD52L2"				"IL17RB"		"FGF18"	"SETD3"	"SETD3"	"ARHGAP12"	"CD302"	"CD302"	"CD55"	"PKM"		"MRPL52"	"HESX1"			"SFXN2"	"SFXN2"	"RRM1"
"RFC5"	"RFC5"	"PDLIM1"	"AURKC"	"AURKC"	"GID8"				"DGKG"		"SH3RF2"	"H2AC20"	"H2AC20"	"ENOX2"	"ATP5MF"	"ATP5MF"	"PRTN3"	"PDK3"		"BTC"	"NDUFS4"			"CSRP1"	"CSRP1"	"GLOD4"
"IL26"	"IL26"	"GATA3"	"RPS16"	"RPS16"	"NKAIN4"				"MRPS24"		"LHFPL4"	"COLEC10"	"COLEC10"	"CASP7"	"TCP10L"	"TCP10L"	"ADH1B"	"RASGRP2"		"PDE12"	"FMC1"			"PLA2G4D"	"PLA2G4D"	"KLK6"
"COPS7A"	"COPS7A"	"PHYH"	"POLR2I"	"POLR2I"	"SEC23B"				"FGFR3"		"CD1B"	"SIVA1"	"SIVA1"	"C16orf78"	"MLLT6"	"MLLT6"	"IFT70A"	"CSNK2A2"		"FUT1"	"SLC25A32"			"CYB5R1"	"CYB5R1"	"CDK2AP2"
"ENO2"	"ENO2"	"PALD1"	"CLIP3"	"CLIP3"	"KIF3B"				"ZXDC"		"NPM2"	"ADSS1"	"ADSS1"	"TRIM44"	"CCL4"	"CCL4"	"HOXC6"	"PICALM"		"CTBP2"	"PRKACG"			"UBE2J2"	"UBE2J2"	"MYL1"
"PTPN6"	"PTPN6"	"MICU1"	"CD79A"	"CD79A"	"MAPRE1"				"VASH1"		"PRAC1"	"PRELID2"	"PRELID2"	"BMERB1"	"KRIT1"		"ELOVL2"	"KEAP1"		"CSRP2"	"PGAP4"			"CFAP410"	"CFAP410"	"CTRB1"
"CMAS"	"CMAS"	"BMPR1A"	"RPS19"	"RPS19"	"JAG1"				"FAM50A"		"C16orf86"	"NRN1L"	"NRN1L"	"TTC16"	"TFPI"		"CSF2RA"	"CTTN"		"NPPA"	"POLL"			"MED27"	"MED27"	"AGPAT2"
"RAB35"	"RAB35"	"CRYBA1"	"ZNRF4"	"ZNRF4"	"SYNDIG1"				"FNDC8"		"PDE9A"	"IFNA2"	"IFNA2"	"HOOK3"	"MEOX1"		"OGA"	"SEPHS1"		"PHYKPL"	"COX11"			"PARS2"	"PARS2"	"CNTROB"
"SRSF9"	"SRSF9"	"DHX40"	"WDR83OS"	"WDR83OS"	"USP14"				"PTGS2"		"ENTREP3"	"C8orf76"	"C8orf76"	"UBTD2"	"QPCTL"		"HMGN2"	"MRPL28"		"CLCF1"	"CYB5A"			"GBP2"	"GBP2"	"EMB"
"PAK1IP1"	"PAK1IP1"	"SLC25A11"	"COPE"	"COPE"	"VAPA"				"JADE1"		"LMNA"	"SPANXD"	"SPANXD"	"APEX2"	"MDH1"		"HLA-DMA"	"PIGS"		"UBQLNL"	"RBPJ"			"IL20"	"IL20"	"GTSF1"
"HDDC2"	"HDDC2"	"SYNGR2"	"DDX49"	"DDX49"	"SRPX"				"STX7"		"LRRC14"	"HSH2D"	"HSH2D"	"ZRSR2"	"COX15"		"CNEP1R1"	"GNA11"		"DCAF4L2"	"TRABD"			"SPDYA"	"SPDYA"	"VAT1L"
"SRSF3"	"SRSF3"	"CYTH1"	"ARMC6"	"ARMC6"	"SYP"				"RAB10"		"KASH5"	"MVB12B"	"MVB12B"	"TRH"	"ATP2C1"		"DOK6"	"EDEM2"		"RBIS"	"TPD52L3"			"UVSSA"	"UVSSA"	"PAH"
"SMAP1"	"SMAP1"	"PSMD11"	"ZNF574"	"ZNF574"	"PLS3"				"ERO1B"		"LARP4"	"IL27"	"IL27"	"DDI1"	"NLRP2"		"TSSK1B"	"C3orf18"		"TCEANC"	"TRAPPC12"			"PRMT9"	"PRMT9"	"CYP4F11"
"HBS1L"	"HBS1L"	"GALNT7"	"TFPI2"	"TFPI2"	"ASB9"				"MTMR2"		"IL24"	"IRAK4"	"IRAK4"	"JAGN1"	"GLRX2"		"UBD"	"OTUB2"		"PTGR3"	"FRMD3"			"CMBL"	"CMBL"	"BSG"
"PACRG"	"PACRG"	"DNAJC4"	"PON3"	"PON3"	"PPP1R2C"				"REM1"		"TRIM17"	"C1orf174"	"C1orf174"	"PWWP2B"	"NCAPH2"		"PRR23E"	"BLVRB"		"MTURN"	"IQCF1"			"PDSS2"	"PDSS2"	"WASHC2C"
"CLIC5"	"CLIC5"	"TMEM109"	"GRB10"	"GRB10"	"SRPX2"				"DHX32"		"SCNM1"	"APRT"	"APRT"	"FRMD5"	"B4GALT7"		"TIGD1"	"NANS"		"PCGF5"	"CNP"			"FMC1"	"FMC1"	"VANGL1"
"CEP72"	"CEP72"	"VWF"	"ABHD11"	"ABHD11"	"TSC22D1"				"SRPK1"		"NAXE"	"TGM2"	"TGM2"	"MAL"	"ZZZ3"		"ORM1"	"PACSIN2"		"ACSM5"	"MSL2"			"RPP25L"	"RPP25L"	"MAP3K11"
"PFDN1"	"PFDN1"	"VPS29"	"CCL24"	"CCL24"	"SMPD3"				"SIRT1"		"ABHD6"	"BMPR2"	"BMPR2"	"SUCLG2"	"AIFM2"		"OR10G8"	"APOBEC3H"		"F8"	"TMEM167A"			"STOML2"	"STOML2"	"ENDOV"
"PDE4D"	"PDE4D"	"HCFC2"	"BUD31"	"BUD31"	"HCFC1R1"				"ABLIM1"		"IL17RE"	"NELFE"	"NELFE"	"ESRRA"	"TBC1D22B"		"ARPC4"	"GINS1"		"RAD51D"	"TMEM70"			"DNAAF2"	"DNAAF2"	"RBM4B"
"IL5"	"IL5"	"MAK"	"ZKSCAN1"	"ZKSCAN1"	"MPG"				"PPP6R2"		"IL15"	"LGALS7"	"LGALS7"	"CCDC106"	"LAPTM4A"		"AP5Z1"	"CD40"		"PNLIPRP1"	"IMP3"			"TCP11L2"	"TCP11L2"	"TMEM270"
"MACROH2A1"	"MACROH2A1"	"RNGTT"	"AGFG2"	"AGFG2"	"NECAB2"				"CABP7"		"SPZ1"	"HTN3"	"HTN3"	"EIF1AX"	"KCNAB2"		"KIR2DL3"	"RAB5IF"		"CYP4A11"	"MCMDC2"			"C16orf78"	"C16orf78"	"SCN4B"
"ZNF346"	"ZNF346"	"MAPK14"	"MEST"	"MEST"	"ZNF174"				"KIAA0930"		"SPAG11B"	"IFI30"	"IFI30"	"CNP"	"REXO2"		"GJA5"	"DIDO1"		"ZKSCAN7"	"HOATZ"			"BTRC"	"BTRC"	"LRRN4CL"
"EHHADH"	"EHHADH"	"FAM120B"	"TSPAN13"	"TSPAN13"	"CLUAP1"				"HDAC10"		"QNG1"	"TAFA5"	"TAFA5"	"CSRP2"	"ITCH"		"CGB1"	"MAPRE1"		"HRH1"	"TMEM186"			"COPS2"	"COPS2"	"MIEF2"
"RBP2"	"RBP2"	"GMDS"	"GIMAP2"	"GIMAP2"	"HOMER2"				"AP4S1"		"ANKS6"	"AP4M1"	"AP4M1"	"PHYKPL"	"CLDND1"		"LYZL6"	"USP14"		"GZMM"	"ZDHHC11"			"BMERB1"	"BMERB1"	"SAMD12"
"SERPINI2"	"SERPINI2"	"HBEGF"	"BLVRA"	"BLVRA"	"DTWD1"				"SRSF5"		"NDUFB6"	"TNF"	"TNF"	"SUGCT"	"MGST2"			"SRPX"		"CDC42SE1"	"RPL14"			"C15orf48"	"C15orf48"	"NAALADL2"
"FGF12"	"FGF12"	"TARS1"	"URGCP"	"URGCP"	"CSPP1"				"ZFYVE21"		"SALL2"	"ZSCAN31"	"ZSCAN31"	"ARIH2"	"CEACAM6"			"FLT1"		"KRTAP26-1"	"HMGB1"			"TERB2"	"TERB2"	"C10orf53"
"ACVR2B"	"ACVR2B"	"CPEB4"	"PRKAG2"	"PRKAG2"	"CA2"				"CCNB1IP1"		"TC2N"	"C22orf39"	"C22orf39"	"RABEP2"	"PSMC5"			"MSLN"		"HOXC6"	"SERPINA3"			"DEGS2"	"DEGS2"	"ZHX2"
"SSR3"	"SSR3"	"ARL6"	"CORO2A"	"CORO2A"	"STK3"				"CD40"		"IL25"	"H2AC18"	"H2AC18"	"RIC8A"	"TFAP4"			"HAS3"		"MAK16"	"ZNF79"			"MAP2K1"	"MAP2K1"	"CCDC89"
"NEK4"	"NEK4"	"PCCB"	"SEC61B"	"SEC61B"	"STMN2"				"RAB5IF"		"POLL"	"NDUFAF7"		"ADAMTSL1"	"ABLIM1"			"MPG"		"STK39"	"HRH1"			"ZRSR2"	"ZRSR2"	"LDLRAD3"
"DNAJC27"	"DNAJC27"	"RBP1"	"EXOSC3"	"EXOSC3"	"SNX16"				"PXMP4"		"COX11"	"MEOX1"		"EDC3"	"CIRBP"			"HOMER2"		"PAPSS2"	"ZSCAN26"			"UMOD"	"UMOD"	"LSMEM2"
"FNDC4"	"FNDC4"	"PRKAR2A"	"GATA3"	"GATA3"	"ERI1"				"MAP1LC3A"		"WDR88"	"RPAP3"		"FAM156B"	"SEC14L2"			"GSDMD"		"HSPA1L"	"RPL37A"			"RSPH10B2"	"RSPH10B2"	"DCTPP1"
"PCSK4"	"PCSK4"	"GNAI2"	"PHYH"	"PHYH"	"FGL1"				"ACOT8"		"ANPEP"	"MAP3K14"		"CLK3"	"JAG1"			"DCTN6"		"SARNP"	"CYP2A7"			"NFU1"	"NFU1"	"MTURN"
"RPS15"	"RPS15"	"CYB561D2"	"CXCL12"	"CXCL12"	"ASAH1"				"LIPG"		"TTC16"	"PSMB1"		"DNAJB8"	"LIPG"			"VRK3"		"CSNK1E"	"SZT2"			"TMEM43"	"TMEM43"	"MCFD2"
"RTN4"	"RTN4"	"CEP15"	"FGF8"	"FGF8"	"DHDH"				"CCL22"		"AXL"	"MKS1"		"FDCSP"	"PSMD7"			"SIGLEC6"		"MTCP1"	"DDX39B"			"TRH"	"TRH"	"GKN2"
"GNLY"	"GNLY"	"UMPS"	"MAP3K8"	"MAP3K8"	"CGB3"				"CCL17"		"CDK2AP2"	"COX15"		"SLX1B"	"AQP9"			"HOXA1"		"TMA7"	"RORB"			"ZNF581"	"ZNF581"	"TP53TG3"
"IL18RAP"	"IL18RAP"	"ZAP70"	"RAPGEFL1"	"RAPGEFL1"	"SARS2"				"SLC7A6OS"		"TK1"	"FHL1"		"HMCES"	"TULP2"			"RAB11FIP2"		"CKMT1B"	"PCDHA2"			"PWWP2B"	"PWWP2B"	"S100A7A"
"PASK"	"PASK"	"ACTR3"	"ASPA"	"ASPA"	"STX10"				"MPG"		"NT5DC2"	"NCAPH2"		"DGCR6"	"ECH1"			"MICU1"		"STON1"	"MRPL20"			"MOB3A"	"MOB3A"	"SPATA32"
"TAF1B"	"TAF1B"	"EPB41L5"	"RAD51C"	"RAD51C"	"DMPK"				"HAGHL"		"CDC40"	"HOXC8"		"CHEK2"	"ERF"			"STN1"		"ZHX1-C8orf76"	"COA8"			"FUT10"	"FUT10"	"HDDC3"
"RMDN2"	"RMDN2"	"CLIP4"	"P2RX1"	"P2RX1"	"C19orf44"				"GSDMD"		"PHYHIP"	"PNKP"		"PRKD1"	"HOXA1"			"KLHL2"		"SRSF8"	"H2BC9"			"ADCK5"	"ADCK5"	"SEPTIN9"
"RND3"	"RND3"	"EVA1A"	"DHX40"	"DHX40"	"SYDE1"				"ASAH1"		"CTRB1"	"AIFM2"		"COPB2"	"GRB10"			"KCTD10"		"ZNF280B"	"H2BC3"			"ESRRA"	"ESRRA"	"SEPTIN5"
"SCP2"	"SCP2"	"PECR"	"RECQL5"	"RECQL5"	"PDCD5"				"ECH1"		"PXDC1"	"GUCA1A"		"F8"	"CHCHD3"			"METAP2"						"EIF1AX"	"EIF1AX"	"RNLS"
"RPL22"	"RPL22"	"STK16"	"GALK1"	"GALK1"	"DYRK1B"				"SARS2"		"APEX2"	"SDCCAG8"		"TNFAIP8L1"	"YKT6"			"MTRF1L"						"TOMM20"	"TOMM20"	"PRR16"
"RGS2"	"RGS2"	"ORC4"	"SLC25A11"	"SLC25A11"	"PLD3"				"ASF1B"		"RAB24"	"HPF1"		"SMYD3"	"CA9"			"FHL5"						"CNP"	"CNP"	"AP3M1"
"ADPRS"	"ADPRS"	"TIA1"	"SYNGR2"	"SYNGR2"	"FSD1"				"TBCB"		"SLC50A1"	"LIMCH1"		"STAC3"	"RIGI"			"XRN1"						"PLK3"	"PLK3"	"HGS"
"LGALS8"	"LGALS8"	"MARK1"	"PSMD11"	"PSMD11"	"PRKD2"				"COPE"		"UMOD"	"EYA2"		"KCNIP4"	"MAP2K6"			"CEP15"						"TMEM167A"	"TMEM167A"	"LYRM7"
"AKT3"	"AKT3"	"LRRC42"	"DHX58"	"DHX58"	"CDC37"				"CA9"		"TM2D2"	"MTHFD2"		"CYP2R1"	"VWA5A"			"NCBP2"						"ODAPH"	"ODAPH"	"FAM9C"
"HSD11B1"	"HSD11B1"	"MRPL37"	"RND2"	"RND2"	"SIGLEC6"				"SFXN3"		"CNBP"	"IP6K2"		"ADAT2"	"DNAJC4"			"PECR"						"CABP4"	"CABP4"	"PABIR1"
"NEK2"	"NEK2"	"MECR"	"ALOX12"	"ALOX12"	"GCDH"				"RECQL5"		"LIMS1"	"GAL"		"HRH1"	"KCTD10"			"MECR"						"COX8A"	"COX8A"	"SF3B3"
"RPS25"	"RPS25"	"ATP5PB"	"VTN"	"VTN"	"GAPDHS"				"ZNF330"		"PUSL1"	"PFN2"		"CYSRT1"	"RSRC2"			"AIRIM"						"IMP3"	"IMP3"	"THEM5"
"CREB1"	"CREB1"	"WARS2"	"TMEM97"	"TMEM97"	"ERF"				"CPZ"		"GTSF1"	"JMJD6"		"KRTAP26-1"	"PRMT8"			"RIMS3"						"GTPBP6"	"GTPBP6"	"ARL9"
"TTR"	"TTR"	"UAP1"	"PF4V1"	"PF4V1"	"RUNDC3B"				"DNAJC4"		"TADA3"	"FAM50A"		"HOXC6"	"ALDH2"			"HSD11B1"						"AURKB"	"AURKB"	"HSH2D"
"CA14"	"CA14"	"CDK18"	"RPL34"	"RPL34"	"CDK6"				"DDX6"		"CSN3"	"PTGS2"		"MBP"	"SPSB2"			"RSRP1"						"EDC3"	"EDC3"	"RPF2"
"HMGN3"	"HMGN3"	"GALE"	"GAR1"	"GAR1"	"DNAJB6"				"CORO1C"		"KRT15"	"MYDGF"		"PAPSS2"	"SMIM8"			"NSL1"						"CLK3"	"CLK3"	"MPZL1"
"ARG1"	"ARG1"	"AKR1A1"	"CPZ"	"CPZ"	"FKBP14"				"IL23A"		"PAH"	"UNG"		"CD247"	"ULBP1"			"SPP1"						"DNAJB8"	"DNAJB8"	"ELOVL2"
"CYP20A1"	"CYP20A1"	"NSL1"	"BST1"	"BST1"	"CHCHD2"				"NAA25"		"POP7"	"PPP2R5C"		"HLA-DRA"	"RBP2"			"CTNNAL1"						"MRPS11"	"MRPS11"	"IRAK4"
"ITGB1BP1"	"ITGB1BP1"	"RPA2"	"DNAJC4"	"DNAJC4"	"PDAP1"				"IL17A"		"ZNF24"	"SP140"		"AKT1S1"	"GNAI2"			"IFIT2"						"ENPP7"	"ENPP7"	"MYL4"
"CPSF3"	"CPSF3"	"PPP1R8"	"TMEM109"	"TMEM109"	"TAF6"				"RPS12"		"TOMM20"	"KEAP1"		"GAGE1"	"UNC50"			"GRIA2"						"HMCES"	"HMCES"	"KCNRG"
"BCL11A"	"BCL11A"	"APOA1"	"DDX6"	"DDX6"	"WASL"				"PEX7"		"MARCHF10"	"RFX3"		"TSSK1B"	"MORN1"			"PLXDC2"						"CHEK2"	"CHEK2"	"CNOT7"
"HELLS"	"HELLS"	"SGK1"	"SCGB2A2"	"SCGB2A2"	"PPP1R17"				"NME5"		"RAB1B"	"RNF13"		"CPNE1"	"MECR"			"DUSP4"						"VPS33B"	"VPS33B"	"PSMB8"
"AVPI1"	"AVPI1"	"GHRH"	"CLEC2B"	"CLEC2B"	"PRUNE2"				"FGF1"		"KCTD13"	"MTMR2"		"CKLF"	"FBXO6"			"PPP3CC"						"ADAP2"	"ADAP2"	"TRIM40"
"PANK3"	"PANK3"	"LDAH"	"IL23A"	"IL23A"	"OGN"				"ARL6"		"FUT1"	"REM1"		"MAGEA3"	"CDK18"			"ACTRT1"						"NIPSNAP1"	"NIPSNAP1"	"HTN3"
"IFNA6"	"IFNA6"	"NEK6"	"VPS29"	"VPS29"	"TLE4"				"FAM162A"		"DCTN2"	"C3orf18"		"ARHGDIG"	"ARMC2"			"NR4A1"						"F8"	"F8"	"SMIM11"
"PCMT1"	"PCMT1"	"IFI27L2"	"NAA25"	"NAA25"	"CDC37L1"				"PCCB"		"PHYHD1"	"NANS"		"DBNDD2"	"LDAH"			"CDK2"						"SIGIRR"	"SIGIRR"	"TSSK1B"
"GORAB"	"GORAB"	"BBOF1"	"ART4"	"ART4"	"UBE2R2"				"SLC41A3"		"CLTB"	"HMOX1"		"POLG2"	"TNFSF18"			"SMUG1"						"SMYD3"	"SMYD3"	"MTCP1"
"ENY2"	"ENY2"	"ABCD4"	"EIF2B1"	"EIF2B1"	"HPS1"				"REEP6"		"RPS6KB2"	"KIAA0930"		"C17orf49"	"SOCS2"			"SNRNP27"						"ROR1"	"ROR1"	"GAGE12G"
"SOHLH2"	"SOHLH2"	"ESRRB"	"MRPL51"	"MRPL51"	"SEC23IP"				"PASK"		"TMEM270"	"PSME2"		"TIMM23"	"SCPEP1"			"SERPINB6"						"KCNIP4"	"KCNIP4"	"TAFA5"
"EXOSC8"	"EXOSC8"	"YPEL5"	"PTPN6"	"PTPN6"	"ATE1"				"PLEKHA3"		"ARL4D"	"RAB5IF"			"GJB6"			"CCDC32"						"POMK"	"POMK"	"HSBP1"
